"Country","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Argentina","17,037,912","17,390,378","17,742,980","18,094,298","18,443,309","18,789,418","19,132,401","19,472,469","19,810,167","20,146,313","20,481,779","20,817,266","21,153,052","21,488,912","21,824,425","22,159,650","22,494,035","22,828,869","23,168,267","23,517,611","23,880,561","24,259,561","24,653,175","25,056,478","25,462,302","25,865,776","26,264,681","26,661,398","27,061,047","27,471,036","27,896,528","28,338,515","28,794,548","29,262,047","29,737,093","30,216,279","30,698,964","31,184,415","31,668,949","32,148,134","32,618,651","33,079,000","33,529,326","33,970,111","34,402,672","34,828,170","35,246,374","35,657,429","36,063,459","36,467,218","36,870,787","37,275,652","37,681,749","38,087,868","38,491,972","38,892,931","39,289,878","39,684,295","40,080,160","40,482,788","40,895,752","41,320,500","41,755,196","42,196,030","42,637,511","43,075,416","43,508,460","43,937,140","44,361,150","44,780,677","45,195,774"
"Bolivia (Plurinational State of)","3,081,830","3,124,341","3,170,675","3,220,686","3,274,201","3,331,036","3,390,967","3,453,770","3,519,195","3,586,988","3,656,955","3,728,964","3,802,990","3,879,192","3,957,757","4,038,872","4,122,517","4,208,676","4,297,517","4,389,246","4,484,004","4,581,740","4,682,390","4,785,923","4,892,293","5,001,419","5,113,456","5,228,252","5,344,939","5,462,419","5,579,935","5,697,096","5,814,345","5,932,810","6,054,123","6,179,460","6,309,130","6,442,831","6,580,312","6,721,115","6,864,842","7,011,453","7,160,920","7,312,850","7,466,793","7,622,338","7,779,267","7,937,458","8,096,761","8,257,066","8,418,264","8,580,235","8,742,814","8,905,823","9,069,039","9,232,306","9,395,446","9,558,439","9,721,454","9,884,781","10,048,590","10,212,954","10,377,676","10,542,377","10,706,517","10,869,730","11,031,814","11,192,855","11,353,142","11,513,100","11,673,021"
"Brazil","53,974,729","55,606,419","57,283,658","58,999,277","60,749,500","62,533,919","64,355,722","66,221,466","68,140,425","70,123,377","72,179,226","74,311,343","76,514,328","78,772,657","81,064,571","83,373,530","85,696,505","88,035,814","90,387,079","92,746,614","95,113,265","97,482,920","99,859,383","102,259,497","104,706,198","107,216,205","109,790,938","112,425,392","115,121,153","117,878,411","120,694,009","123,570,327","126,498,314","129,448,819","132,383,568","135,274,080","138,108,912","140,891,602","143,627,503","146,328,304","149,003,223","151,648,011","154,259,380","156,849,078","159,432,716","162,019,896","164,614,688","167,209,040","169,785,250","172,318,675","174,790,340","177,196,054","179,537,520","181,809,246","184,006,481","186,127,103","188,167,356","190,130,443","192,030,362","193,886,508","195,713,635","197,514,536","199,287,299","201,035,912","202,763,739","204,471,769","206,163,053","207,833,823","209,469,323","211,049,527","212,559,417"
"Chile","6,598,524","6,729,579","6,869,709","7,016,468","7,167,907","7,322,652","7,479,850","7,639,205","7,800,877","7,965,331","8,132,990","8,303,811","8,476,897","8,650,387","8,821,858","8,989,621","9,152,844","9,312,095","9,468,845","9,625,312","9,783,134","9,942,727","10,103,674","10,265,829","10,428,798","10,592,307","10,756,878","10,922,779","11,089,165","11,254,877","11,419,348","11,582,014","11,743,911","11,907,960","12,078,135","12,257,236","12,445,823","12,642,924","12,847,708","13,058,758","13,274,623","13,495,258","13,719,819","13,944,937","14,166,340","14,380,866","14,587,370","14,786,220","14,977,733","15,162,800","15,342,353","15,516,113","15,684,409","15,849,652","16,014,971","16,182,721","16,354,504","16,530,195","16,708,258","16,886,186","17,062,536","17,233,576","17,400,347","17,571,507","17,758,959","17,969,353","18,209,068","18,470,439","18,729,160","18,952,038","19,116,201"
"Colombia","11,981,576","12,295,968","12,633,908","12,993,841","13,374,536","13,775,000","14,194,557","14,632,797","15,089,519","15,564,616","16,057,724","16,567,811","17,092,918","17,629,979","18,175,185","18,725,245","19,279,740","19,837,510","20,393,699","20,942,456","21,480,065","22,003,980","22,516,425","23,024,517","23,538,386","24,065,507","24,608,113","25,164,545","25,733,673","26,312,994","26,900,506","27,496,617","28,101,819","28,714,190","29,331,238","29,951,201","30,572,478","31,195,413","31,822,525","32,457,499","33,102,575","33,758,337","34,422,569","35,091,275","35,758,979","36,421,438","37,076,387","37,723,800","38,364,309","38,999,471","39,629,968","40,255,967","40,875,360","41,483,869","42,075,955","42,647,723","43,200,897","43,737,516","44,254,975","44,750,054","45,222,700","45,662,748","46,075,718","46,495,493","46,967,696","47,520,667","48,175,052","48,909,839","49,661,048","50,339,443","50,882,891"
"Ecuador","3,470,159","3,561,079","3,654,722","3,751,595","3,852,126","3,956,620","4,065,313","4,178,344","4,295,747","4,417,535","4,543,666","4,674,172","4,809,201","4,948,986","5,093,854","5,243,977","5,399,422","5,560,012","5,725,459","5,895,367","6,069,376","6,247,418","6,429,379","6,614,843","6,803,280","6,994,334","7,187,787","7,383,724","7,582,353","7,784,072","7,989,186","8,197,652","8,409,397","8,624,594","8,843,462","9,066,109","9,292,474","9,522,360","9,755,579","9,991,870","10,230,934","10,472,475","10,716,129","10,961,466","11,208,001","11,455,204","11,703,174","11,951,452","12,198,449","12,442,115","12,681,123","12,914,667","13,143,465","13,369,678","13,596,388","13,825,847","14,059,384","14,296,557","14,535,739","14,774,424","15,011,117","15,243,884","15,474,101","15,707,474","15,951,840","16,212,020","16,491,116","16,785,361","17,084,358","17,373,662","17,643,054"
"Guyana","406,559","418,674","432,818","448,464","465,172","482,555","500,324","518,259","536,218","554,092","571,819","589,274","606,285","622,575","637,845","651,868","664,521","675,871","686,146","695,745","704,934","713,684","721,948","729,916","737,847","745,841","754,101","762,424","770,125","776,254","780,153","781,732","781,246","778,948","775,219","770,435","764,446","757,448","750,639","745,585","743,309","744,474","748,602","754,144","758,896","761,291","760,795","757,970","753,778","749,674","746,715","745,206","744,789","745,143","745,737","746,163","746,343","746,474","746,817","747,718","749,436","752,028","755,399","759,285","763,380","767,432","771,368","775,222","779,006","782,766","786,552"
"Paraguay","1,473,253","1,511,848","1,550,979","1,590,861","1,631,701","1,673,665","1,716,874","1,761,448","1,807,460","1,854,956","1,903,982","1,954,548","2,006,670","2,060,339","2,115,567","2,172,306","2,230,741","2,290,798","2,351,925","2,413,396","2,474,763","2,535,873","2,597,154","2,659,421","2,723,812","2,791,241","2,861,867","2,935,712","3,013,282","3,095,145","3,181,625","3,272,912","3,368,773","3,468,535","3,571,272","3,676,210","3,783,074","3,891,734","4,001,681","4,112,386","4,223,415","4,334,345","4,445,016","4,555,521","4,666,094","4,776,843","4,887,632","4,998,100","5,107,839","5,216,349","5,323,201","5,428,444","5,531,962","5,632,983","5,730,549","5,824,096","5,913,209","5,998,427","6,081,296","6,163,972","6,248,020","6,333,976","6,421,513","6,510,276","6,599,526","6,688,746","6,777,872","6,867,061","6,956,066","7,044,636","7,132,538"
"Peru","7,777,446","7,976,478","8,184,718","8,401,374","8,625,978","8,858,389","9,098,829","9,347,840","9,606,238","9,875,015","10,155,015","10,446,620","10,749,466","11,062,300","11,383,373","11,711,392","12,045,787","12,386,879","12,735,486","13,092,852","13,459,794","13,836,367","14,221,961","14,615,845","15,017,055","15,424,744","15,838,572","16,258,321","16,683,456","17,113,388","17,547,610","17,985,393","18,426,415","18,870,993","19,319,746","19,772,872","20,230,384","20,691,283","21,153,459","21,614,193","22,071,433","22,522,378","22,966,818","23,408,131","23,851,408","24,299,160","24,753,824","25,210,954","25,658,062","26,078,293","26,459,944","26,799,285","27,100,968","27,372,226","27,624,213","27,866,145","28,102,056","28,333,052","28,562,317","28,792,655","29,027,674","29,264,318","29,506,788","29,773,987","30,090,359","30,470,734","30,926,032","31,444,298","31,989,260","32,510,453","32,971,854"
"Suriname","215,002","222,464","229,212","235,688","242,213","249,000","256,177","263,756","271,666","279,750","287,871","295,916","303,895","311,947","320,270","328,936","338,158","347,660","356,550","363,575","367,931","369,236","367,907","364,915","361,667","359,226","357,953","357,659","358,099","358,818","359,519","360,143","360,920","362,276","364,733","368,638","374,140","381,037","388,881","397,085","405,168","413,005","420,655","428,030","435,105","441,851","448,213","454,161","459,831","465,385","470,949","476,579","482,235","487,942","493,679","499,464","505,295","511,181","517,123","523,111","529,131","535,179","541,245","547,291","553,273","559,143","564,888","570,496","575,990","581,372","586,632"
"Trinidad and Tobago","645,635","658,749","675,589","695,243","716,883","739,709","762,979","786,033","808,233","829,019","847,979","864,818","879,441","891,944","902,613","911,737","919,217","925,235","930,795","937,186","945,360","955,741","968,136","982,010","996,493","1,010,936","1,025,107","1,039,212","1,053,558","1,068,640","1,084,744","1,101,983","1,120,020","1,138,071","1,155,074","1,170,285","1,183,381","1,194,541","1,204,153","1,212,857","1,221,116","1,229,103","1,236,683","1,243,616","1,249,520","1,254,200","1,257,549","1,259,848","1,261,695","1,263,933","1,267,153","1,271,632","1,277,213","1,283,559","1,290,123","1,296,502","1,302,561","1,308,451","1,314,443","1,320,930","1,328,147","1,336,178","1,344,819","1,353,703","1,362,345","1,370,328","1,377,560","1,384,059","1,389,843","1,394,973","1,399,488"
"Uruguay","2,238,507","2,261,341","2,286,262","2,313,213","2,342,038","2,372,559","2,404,497","2,437,493","2,471,145","2,505,010","2,538,643","2,571,681","2,603,882","2,635,126","2,665,388","2,694,536","2,722,875","2,750,086","2,774,759","2,795,042","2,809,793","2,818,281","2,821,461","2,822,117","2,824,095","2,830,176","2,841,372","2,856,958","2,875,728","2,895,688","2,915,389","2,934,613","2,953,852","2,973,036","2,992,246","3,011,519","3,030,649","3,049,581","3,068,705","3,088,595","3,109,601","3,131,660","3,154,464","3,177,745","3,201,151","3,224,281","3,247,381","3,270,164","3,291,053","3,308,012","3,319,736","3,325,473","3,326,040","3,323,668","3,321,476","3,321,803","3,325,401","3,331,749","3,340,221","3,349,676","3,359,275","3,368,934","3,378,975","3,389,443","3,400,436","3,412,009","3,424,129","3,436,641","3,449,285","3,461,734","3,473,730"
"Venezuela (Bolivarian Republic of)","5,481,978","5,726,612","5,974,436","6,226,290","6,482,860","6,744,695","7,012,184","7,285,571","7,564,979","7,850,413","8,141,841","8,439,261","8,742,777","9,052,635","9,369,096","9,692,278","10,022,592","10,359,745","10,702,291","11,048,262","11,396,393","11,745,945","12,097,694","12,453,718","12,816,955","13,189,509","13,572,208","13,964,379","14,364,727","14,771,271","15,182,611","15,597,886","16,017,573","16,443,134","16,876,703","17,319,520","17,772,001","18,232,730","18,698,847","19,166,471","19,632,665","20,096,317","20,557,683","21,016,901","21,474,549","21,931,084","22,385,650","22,837,743","23,288,564","23,739,841","24,192,446","24,646,472","25,100,408","25,551,624","25,996,594","26,432,447","26,850,194","27,247,610","27,635,832","28,031,009","28,439,940","28,887,874","29,360,837","29,781,040","30,042,968","30,081,829","29,851,255","29,402,484","28,887,118","28,515,829","28,435,940"